 IPER  ISTEP  TLEN  ILYR  STAIN  TOPIN  BOTIN  GHBIN  RESIN  RRCIN  RETIN  STAOUT  TOPOUT  BOTOUT  GHBOUT  RESOUT  RRCOUT  RETOUT  ABER
 1          1          1                1          0.0000            0.0000            0.0000            0.0000            345000.0000       0.0000            0.0000            333100.5760       0.0000            0.0000            11898.4193        0.0000            0.0000            0.0000            1.0047           
 1          2          2                1          0.0000            0.0000            0.0000            0.0000            1351897.7375      0.0000            0.0000            1283275.7390      0.0000            0.0000            68620.8327        0.0000            0.0000            0.0000            1.1659           
 2          1          3                1          0.0000            0.0000            0.0000            0.0000            2130374.1291      0.0000            0.0000            1956865.8525      0.0000            0.0000            173506.9127       0.0000            0.0000            0.0000            1.3640           
 2          2          4                1          0.0000            0.0000            0.0000            0.0000            2770557.2437      0.0000            0.0000            2452308.1071      0.0000            0.0000            318247.5289       0.0000            0.0000            0.0000            1.6076           
 3          1          5                1          41442.1202        0.0000            0.0000            0.0000            3043736.1801      0.0000            0.0000            2602119.3641      0.0000            0.0000            483057.4002       0.0000            0.0000            0.0000            1.5360           
 3          2          6                1          189679.7411       0.0000            0.0000            0.0000            3087862.2875      0.0000            0.0000            2625061.5439      0.0000            0.0000            649473.9999       3006.5422         0.0000            0.0000            -0.0574          
 3          3          7                1          395078.1843       0.0000            0.0000            0.0000            3088146.6723      0.0000            0.0000            2625456.8466      0.0000            0.0000            808278.1132       49495.8718        0.0000            0.0000            -5.9750          
 3          4          8                1          609749.2596       0.0000            0.0000            0.0000            3088146.6723      0.0000            0.0000            2625456.8466      0.0000            0.0000            954990.0481       117456.2513       0.0000            0.0000            -7.2142          
 3          5          9                1          770858.7177       0.0000            0.0000            0.0000            3088146.6723      0.0000            0.0000            2625456.8466      0.0000            0.0000            1089919.4389      143638.3115       0.0000            0.0000            -9.2070          
